,Url,Preço,Titulo Imóvel,Endereço,Área,Número de Quartos
43,https://apartamento.mercadolivre.com.br/MLB-2063365060-apartamento-1605-70153038-_JM#position=44&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,1.400.000,Apartamento - 1605 - 70153038,"Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",120 m² construídos,3 quartos
44,https://apartamento.mercadolivre.com.br/MLB-1721861867-oportunidade-green-coast-ap0210-_JM#position=45&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,899.000,Oportunidade Green Coast. - Ap0210,"Rua Mário Covas Júnior, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",96 m² construídos,2 quartos
45,https://apartamento.mercadolivre.com.br/MLB-1909022963-apartamento-com-1-dormitorio-venda-60-m-por-r-77500000-barra-da-tijuca-rio-de-janeirorj-ap1608-_JM#position=46&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,775.000,"Apartamento Com 1 Dormitório À Venda, 60 M² Por R$ 775.000,00 - Barra Da Tijuca - Rio De Janeiro/rj - Ap1608","Avenida Lúcio Costa, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",60 m² construídos,1 quarto
46,https://apartamento.mercadolivre.com.br/MLB-2128610611-apartamento-venda-em-rio-de-janeiro-35150-_JM#position=47&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,649.000,Apartamento À Venda Em Rio De Janeiro - 35150,"Rua Vilhena De Morais, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",75 m² construídos,2 quartos
47,https://apartamento.mercadolivre.com.br/MLB-2160270407-apartamento-venda-em-rio-de-janeiro-27203-_JM#position=48&search_layout=grid&type=item&tracking_id=a73521bb-9cbc-4b78-8a0f-757b166ab098,1.945.000,Apartamento À Venda Em Rio De Janeiro - 27203,"Rua Das Bromélias, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",175 m² construídos,4 quartos
48,https://apartamento.mercadolivre.com.br/MLB-2159563263-cobertura-venda-em-rio-de-janeiro-39013-_JM#position=1&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,2.300.000,Cobertura À Venda Em Rio De Janeiro - 39013,"Avenida Belisário Leite De Andrade Neto, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",390 m² construídos,2 quartos
49,https://apartamento.mercadolivre.com.br/MLB-2153234155-apartamento-venda-em-rio-de-janeiro-42164-_JM#position=2&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,1.659.000,Apartamento À Venda Em Rio De Janeiro - 42164,"Rua Antônio Arthur Braga, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",154 m² construídos,4 quartos
50,https://apartamento.mercadolivre.com.br/MLB-2128577155-apartamento-venda-em-rio-de-janeiro-36219-_JM#position=3&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,3.200.000,Apartamento À Venda Em Rio De Janeiro - 36219,"Rua Ataulpho Coutinho, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",328 m² construídos,4 quartos
51,https://apartamento.mercadolivre.com.br/MLB-2164663526-cobertura-venda-em-rio-de-janeiro-45802-_JM#position=4&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,4.200.000,Cobertura À Venda Em Rio De Janeiro - 45802,"Avenida Prefeito Dulcídio Cardoso, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",500 m² construídos,3 quartos
52,https://apartamento.mercadolivre.com.br/MLB-2159928567-apartamento-venda-em-rio-de-janeiro-28231-_JM#position=5&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,1.180.000,Apartamento À Venda Em Rio De Janeiro - 28231,"Avenida Ayrton Senna, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",115 m² construídos,3 quartos
53,https://apartamento.mercadolivre.com.br/MLB-2159885846-cobertura-venda-em-rio-de-janeiro-25977-_JM#position=6&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,3.500.000,Cobertura À Venda Em Rio De Janeiro - 25977,"Rua Desembargador Fernandes Pinheiro, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",563 m² construídos,5 quartos
54,https://apartamento.mercadolivre.com.br/MLB-2159860786-apartamento-venda-em-rio-de-janeiro-29766-_JM#position=7&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,3.100.000,Apartamento À Venda Em Rio De Janeiro - 29766,"Avenida Afonso De Taunay, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",306 m² construídos,5 quartos
55,https://apartamento.mercadolivre.com.br/MLB-2159879843-apartamento-venda-em-rio-de-janeiro-27219-_JM#position=8&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,4.091.000,Apartamento À Venda Em Rio De Janeiro - 27219,"Avenida Das Acácias Da Península, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",298 m² construídos,4 quartos
56,https://apartamento.mercadolivre.com.br/MLB-2153234156-apartamento-venda-em-rio-de-janeiro-44630-_JM#position=9&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,1.180.000,Apartamento À Venda Em Rio De Janeiro - 44630,"Rua João Zaneti, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",80 m² construídos,2 quartos
57,https://apartamento.mercadolivre.com.br/MLB-2128618292-apartamento-venda-em-rio-de-janeiro-36220-_JM#position=10&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,4.200.000,Apartamento À Venda Em Rio De Janeiro - 36220,"Avenida Lúcio Costa, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",133 m² construídos,1 quarto
58,https://apartamento.mercadolivre.com.br/MLB-2128558419-apartamento-venda-em-rio-de-janeiro-36380-_JM#position=11&search_layout=grid&type=item&tracking_id=2fc59056-0b1f-4d15-81bf-6175e54c885f,1.795.000,Apartamento À Venda Em Rio De Janeiro - 36380,"Avenida João Carlos Machado, Barra Da Tijuca, Rio De Janeiro Zona Oeste, Rio De Janeiro",156 m² construídos,2 quartos
